"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Amount (Out)","Token (Out)","Amount (In)","Token (In)","Swapped Rate","Swapped Pair","DEX"
"0x95f3238e577d9d920ec723787fa906bf9465cf60d871741dc4f653046e253822","1630472230",2021-09-01 04:57:10,Sell,135852.676668887, MUTANT, 1.43794926208281, ETH,0.00001058,ETH per MUTANT,Uniswap V3
"0x0d2d7120026d8522dae384b881f3343c14de9a2e48933ff5734cdbd2ba227438","1630480416",2021-09-01 07:13:36,Sell,17175.0868104902, MUTANT, 0.176818383830519, ETH,0.00001030,ETH per MUTANT,Uniswap V3
"0x4b4cff703c309e92e55a5a884302728093d55bf9cce05ba7d5a8b0c77fcf843f","1630486112",2021-09-01 08:48:32,Sell,12817.7236768947, MUTANT, 0.131253161996166, ETH,0.00001024,ETH per MUTANT,Uniswap V3
"0xc11820be08a227f999c74a50595e047e48e4671f68bb8ebc8b768b2984347f48","1630488121",2021-09-01 09:22:01,Sell,9145.98378489743, MUTANT, 0.0932883338245296, ETH,0.00001020,ETH per MUTANT,Uniswap V3
"0x6a24b633f9d60308430d8b9765f346b4ea7975b9ce7a64f39725da23088f7026","1630516584",2021-09-01 17:16:24,Sell,25486.280733084, MUTANT, 0.258362134255301, ETH,0.00001014,ETH per MUTANT,Uniswap V3
"0x7e241c9dd37254f7c6a2d1c0fb2a515d5725103314efad4061d2e6a47aafbc06","1630526917",2021-09-01 20:08:37,Sell,7777.73225882834, MUTANT, 0.0783809288768395, ETH,0.00001008,ETH per MUTANT,Uniswap V3
"0xa24840ec7f76416b171427761e24e09e94751a9605c8eb11449cccca0b11527c","1630550804",2021-09-02 02:46:44,Buy,0.02652343, ETH, 2581.90636204461, MUTANT,0.00001027,ETH per MUTANT,Uniswap V3
"0xb28377f42d280539f47d5b817def520367497ad618debc2ef8b7959afc216978","1630568500",2021-09-02 07:41:40,Buy,0.03, ETH, 2917.45905554938, MUTANT,0.00001028,ETH per MUTANT,Uniswap V3
"0x8238373708f751962715fbfddaf55ab9cf57685245641acc52eab5577139a932","1630571110",2021-09-02 08:25:10,Sell,87162.297820724, MUTANT, 0.865537104680879, ETH,0.00000993,ETH per MUTANT,Uniswap V3
"0x2c1932637a1eb0180157053edbe4708285f11af8c0a47baa2e8b1c65a54083e9","1630603356",2021-09-02 17:22:36,Sell,42521.6333787529, MUTANT, 0.412761946901418, ETH,0.00000971,ETH per MUTANT,Uniswap V3
"0xca7956ac56ac72c0070abee09469a6f7cf46ab9bc3bbe1373ece14f098e49df2","1630655043",2021-09-03 07:44:03,Buy,0.02, ETH, 2033.60607814233, MUTANT,0.00000983,ETH per MUTANT,Uniswap V3
"0x1156cf920a9a1ae3bae57563d92d1790654394ce3ef69f5d50c6da4a9c0a3b01","1630723904",2021-09-04 02:51:44,Buy,1.01, ETH, 100848.407652618, MUTANT,0.00001002,ETH per MUTANT,Uniswap V3
"0xc3413a5bfc785339d9e3c106eb9606d7899b1cbbeca95c90355fd248895209c4","1630732098",2021-09-04 05:08:18,Buy,0.22, ETH, 21496.5665158924, MUTANT,0.00001023,ETH per MUTANT,Uniswap V3
"0xa769f18291b706cf88fa0c986d343d59cca15334dfa1980ac4ef9d39993c1860","1630742593",2021-09-04 08:03:13,Sell,115344.448877909, MUTANT, 1.13816792838021, ETH,0.00000987,ETH per MUTANT,Uniswap V3
"0xe31abee8936ffbfc32d8c594821a93840dbf5d0375aa52e3d1c5eb461585503a","1630780480",2021-09-04 18:34:40,Buy,0.25, ETH, 25226.5058064397, MUTANT,0.00000991,ETH per MUTANT,Uniswap V3
"0xb0b9728d12951b732f3460885a70c2ce6c4b09a9e66e8b8f9be065f71c95bef0","1630827556",2021-09-05 07:39:16,Sell,18108.1452639383, MUTANT, 0.176109707057684, ETH,0.00000973,ETH per MUTANT,Uniswap V3
"0xf9f431048afeee8b668813682a52d4d18d0738c0f097550fc8b2aaf4668ed3b1","1630940282",2021-09-06 14:58:02,Sell,321070.234907688, MUTANT, 2.94825041675273, ETH,0.00000918,ETH per MUTANT,Uniswap V3
"0x6727e9f8ecdaa4bf3dc0bcd7efd441ff8b8dadd88a5673e10f659478a9f62e68","1631048629",2021-09-07 21:03:49,Sell,25260.7369753973, MUTANT, 0.218792393196827, ETH,0.00000866,ETH per MUTANT,Uniswap V3
"0x3c50cd4027f5de3d7ca18a884c9272cecd0166cc2632fa6b411a248a0354ea83","1631108614",2021-09-08 13:43:34,Buy,0.03, ETH, 3406.9216719978, MUTANT,0.00000881,ETH per MUTANT,Uniswap V3
"0xcd67fe125d63307bdb43b7387b09fcdc2f5ca8d7d1e5c9de4ca36f46a078d560","1631163967",2021-09-09 05:06:07,Buy,0.02, ETH, 2269.14689127046, MUTANT,0.00000881,ETH per MUTANT,Uniswap V3
"0x18d01a1f6de55ecd00ba35ae79f87c3114f8c1755e58a2ed96cf999a9d594a39","1631189296",2021-09-09 12:08:16,Buy,0.03, ETH, 3400.52381214856, MUTANT,0.00000882,ETH per MUTANT,Uniswap V3
"0xdf9eef53c71c2870d40604356bde2a3ae3deda267e320008ff08d4ea59205786","1631207717",2021-09-09 17:15:17,Buy,0.01, ETH, 1132.65649122195, MUTANT,0.00000883,ETH per MUTANT,Uniswap V3
